Bandleader,Orchestra,Date,Title,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings
Carlos Di Sarli,Sexteto Di Sarli,11/4/1930,Añorándote,Tango,Instrumental,Víctor,78rpm,Pascual Verzino; Romeo Guidi,José Staffolani,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,11/4/1930,Flora,Tango,Ernesto Famá,Víctor,78rpm,Augusto Berto,Carlos Sarmiento,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,11/4/1930,La Estancia,Tango,Ernesto Famá,Víctor,78rpm,Pintín Castellanos,Pintín Castellanos,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,11/4/1930,Que Torcido Andás Julián,Tango,Ernesto Famá,Víctor,78rpm,Fausto Frontera,Enrique Cadícamo,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"César Ginzo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,1/10/1931,Cachivache,Tango,Fernando Díaz,Víctor,78rpm,C. Gallardo,Raúl Lara ,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"Ricardo Gargiulo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,1/10/1931,Que Dios Te Perdone,Tango,Fernando Díaz,Víctor,78rpm,Manuel Flores,Celedonio Flores,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"Ricardo Gargiulo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,6/3/1931,Si Yo Soñara,Vals,Instrumental,Víctor,78rpm,Joseph Burke,Carlos Sánchez; Federico Saniez,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"Ricardo Gargiulo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,6/3/1931,Sobre El Pucho,Tango,Ernesto Famá,Víctor,78rpm,Sebastián Piana,José Castillo,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"Ricardo Gargiulo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,6/23/1931,La Baguala,Tango,Ernesto Famá,Víctor,78rpm,Juan Pérez,Enrique Sotelo,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"Ricardo Gargiulo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,6/23/1931,La Ofrenda,Tango,Ernesto Famá,Víctor,78rpm,Carlos Romeu,Carlos Romeu,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"Ricardo Gargiulo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,8/14/1931,Maldita,Tango,Ernesto Famá,Víctor,78rpm,Antonio Rodio,Celedonio Flores,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"Ricardo Gargiulo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Sexteto Di Sarli,8/14/1931,Una Noche De Garufa,Tango,Instrumental,Víctor,78rpm,Eduardo Arolas,Gabriel Clausi,,28-31 / Sexteto ,Carlos Di Sarli,Domingo Capurro,"Ricardo Gargiulo, Tito Landó","Roberto Guisado,  Héctor Lefalle"
Carlos Di Sarli,Carlos Di Sarli y su Orquesta Típica,12/11/1939,Corazón,Tango,Roberto Rufino,Víctor,78rpm,Carlos Di Sarli,Héctor Marcó,,39-41 / Initial Típica ,Carlos Di Sarli,Domingo Capurro,"Roberto Gianitelli, Domingo Sánchez, Roberto Mititieri","Roberto Guisado, Ángel Goicoechea, Adolfo Pérez"
Carlos Di Sarli,Carlos Di Sarli y su Orquesta Típica,12/11/1939,El Retirao,Tango,Instrumental,Víctor,78rpm,Carlos Posadas,,,39-41 / Initial Típica ,Carlos Di Sarli,Domingo Capurro,"Roberto Gianitelli, Domingo Sánchez, Roberto Mititieri","Roberto Guisado, Ángel Goicoechea, Adolfo Pérez"
Carlos Di Sarli,Carlos Di Sarli y su Orquesta Típica,2/9/1940,Catamarca,Tango,Instrumental,Víctor,78rpm,Eduardo Arolas,Jesús Blanco,,39-41 / Initial Típica ,Carlos Di Sarli,Domingo Capurro,"Félix Verdi, Roberto Gianitelli, Domingo Sánchez, Roberto Mititieri, Luis Porcellana","Roberto Guisado, Ángel Goicoechea, Adolfo Pérez, Antonio Rossi"
Carlos Di Sarli,Carlos Di Sarli y su Orquesta Típica,2/9/1940,Milonga Del Sentimiento,Milonga,Roberto Rufino,Víctor,78rpm,Juan Barbará,Rafael Dadino,,39-41 / Initial Típica ,Carlos Di Sarli,Domingo Capurro,"Félix Verdi, Roberto Gianitelli, Domingo Sánchez, Roberto Mititieri, Luis Porcellana","Roberto Guisado, Ángel Goicoechea, Adolfo Pérez, Antonio Rossi"
