Bandleader,Orchestra,Date,Title,Genre,Singer,Label,Medium,Composer, Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,10/4/1940,Por Un Beso De Amor,Vals,Jorge Ortiz,Odeon,78rpm,Doménico Ravasini; Umberto Bertin,Doménico Ravasini; Umberto Bertini,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,10/15/1940,Misa De Once,Tango,Jorge Ortiz,Odeon,78rpm,Juan Guichandut,Armando Tagini,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,10/15/1940,¡Marcas...!,Tango,Jorge Ortiz,Odeon,78rpm,Héctor Artola,Carlos Bahr,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,12/17/1940,No Le Digas Que La Quiero,Tango,Jorge Ortiz,Odeon,78rpm,Enrique Delfino,Alberto Vaccarezza,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,12/17/1940,La Marca De Fuego,Tango,Instrumental,Odeon,78rpm,Juan Maglio,,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,12/26/1940,Yo También,Tango,Jorge Ortiz,Odeon,78rpm,Luis Visca,Luis Rubistein,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,12/26/1940,Re Fa Si,Tango,Instrumental,Odeon,78rpm,Enrique Delfino,,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,1/14/1941,Pájaro Ciego,Tango,Jorge Ortiz,Odeon,78rpm,Antonio Bonavena,Lito Bayardo,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,1/14/1941,El Entrerriano,Tango,Instrumental,Odeon,78rpm,Rosendo Mendizábal,,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
Rodolfo Biagi ,Rodolfo Biagi y su Orquesta Típica,3/15/1941,Humillación,Tango,Jorge Ortiz,Odeon,78rpm,Rodolfo Biagi,Carlos Bahr,,"38-43 / Ibanez, Falgas, Ortiz, Lago ",Rodolfo Biagi,Donato Calabrese,"Alfredo Attadia, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio Gonzalez, Oscar de la Fuente"
