 Bandleader , Orchestra , Date , Title , Genre , Singer , Label , Master , Composer , Author , Arranger , Grouping ,Pianist,Bassist,Bandoneons,Strings
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Allá En El Patio,Tango,Instrumental,Odeon,Acoustic,Arturo Bochatón,Juan Bruno,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Alma Negra,Tango,Instrumental,Odeon,Acoustic,Udelino Toranzo,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Amar A Besos,Tango,Instrumental,Odeon,Acoustic,José Rizzuti,Eduardo Calvo,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,América,Tango,Instrumental,Odeon,Acoustic,José Marco,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Amor Que Llora,Tango,Instrumental,Odeon,Acoustic,Osvaldo Fresedo,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Amor Trágico,Tango,Instrumental,Odeon,Acoustic,Eugenio Cárdenas,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Anhelos,Tango,Instrumental,Odeon,Acoustic,Adolfo Muzzi,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Anoche A Las Dos,Tango,Instrumental,Odeon,Acoustic,Raúl de los Hoyos,Roberto Cayol,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Aquel Cuartito De La Pensión,Tango,Instrumental,Odeon,Acoustic,Raúl de los Hoyos,Carlos Viale Paz,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
Osvaldo Fresedo,Orquesta Típica Fresedo,1926,Aquella Cantina De La Rivera,Tango,Instrumental,Odeon,Acoustic,Cátulo Castillo,,,17-26 / Acoustic,José María Rizzuti,Humberto Costanzo,"Osvaldo Fresedo, Alberto Rodríguez","Adolfo Muzzi, Jean Koller"
