Bandleader,Orchestra,Date,Title,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneon,Strings
Alfredo De Angelis,Orquesta Alfredo De Angelis,4/3/1974,Por la vuelta,Tango,Julián Rosales,Odeón,Tape-S,José Tinelli,Enrique Cadícamo,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,4/3/1974,Vida Mía,Tango,Julián Rosales,Odeón,Tape-S,Osvaldo Fresedo,Emilio Augusto Oscar Fresedo,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,4/19/1974,De puro curda,Tango,Carlos Aguirre,Odeón,Tape-S,Carlos Olmedo,Abel Mariano Aznar; Campos Hugo Di Carlo,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,4/19/1974,La Yumba,Tango,Instrumental,Odeón,Tape-S,Osvaldo Pugliese,,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,4/26/1974,El Torito,Milonga,,Odeón,Tape-S,Ángel Villoldo,Carlos Pesce; Antonio Polito,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,4/26/1974,Lágrimas y sonrisas,Vals,,Odeón,Tape-S,Pascual Gullo,Francisco Gullo (Pascual De Gullo),,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,8/23/1974,Malevaje,Tango,Carlos Gardel,Odeón,Tape-S,Juan Filiberto,Enrique Santos Discépolo,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,8/23/1974,Muñeca brava,Tango,Carlos Gardel,Odeón,Tape-S,Luis Visca,Enrique Cadícamo,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,8/23/1974,Rosas de abril,Vals,Carlos Gardel,Odeón,Tape-S,Rafael Rossi,Eugenio Cárdenas,,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
Alfredo De Angelis,Orquesta Alfredo De Angelis,8/28/1974,Almagro,Tango,Carlos Gardel,Odeón,Tape-S,Vicente Lorenzo,Antonio Polito (Ángel Timarni),,"Rizzo 1st bando, Cinosi 1st violin (1968-77)",Alfredo De Angelis,Hugo Besnatti,"Osvaldo Rizzo, Alfredo Dafuncio, Carlos Cubría, Américo Pinelli ","Wenceslao Cinosi, Simón Broitman, Ángel Vilar, Germán Ojeda"
