Bandleader,Orchestra,,Title,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneon,Strings
Edgardo Donato,Edgardo Donato y sus Muchachos,3/20/1931,Amor Criollo,Vals,Instrumental,Brunswick,78rpm,P. Martínez,,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,3/20/1931,Aventurera,Tango,Instrumental,Brunswick,78rpm,H. Zitelli,,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,4/14/1931,El Viejo Cuco,Tango,Carlos Viván,Brunswick,78rpm,J. Grillo,J. Grillo,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,5/13/1931,La Tapera,Vals,Carlos Viván,Brunswick,78rpm,Osvaldo Donato,Sergio Sosa,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,5/13/1931,Viejo Belgrano,Tango,Carlos Viván,Brunswick,78rpm,José Felipe Pérez Roselli,José Felipe Pérez Roselli,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,5/20/1931,Tus Horas Negras,Vals,Instrumental,Brunswick,78rpm,J. Castaño,,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,6/3/1931,Cuarenta Entradas,Tango,Teófilo Ibáñez,Brunswick,78rpm,José López,Ares Nicolas Olivari,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,6/3/1931,La Linda Pebeta,Tango,Carlos Viván,Brunswick,78rpm,Benito R. Atella,Benito R. Atella,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,6/3/1931,Mamá,Tango,Carlos Viván Y Coro,Brunswick,78rpm,Edgardo Donato,Celedonio Esteban Flores,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,7/8/1931,Pegó La Vuelta El Gaucho,Vals,Teófilo Ibáñez,Brunswick,78rpm,Edgardo Donato,Alfredo Bigeschi,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,7/8/1931,Visión De Arrabal,Tango,Teófilo Ibáñez,Brunswick,78rpm,Luis Sebastian Addesso,César Garrigós,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,7/16/1931,No Vuelvas Más,Tango,Instrumental,Brunswick,78rpm,Alfredo L. Palazzo,Alfredo L. Palazzo,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,8/13/1931,Lágrimas,Vals,Teófilo Ibáñez,Brunswick,78rpm,Vicente Vilardi; J. Pastene,Juan De la Calle,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,8/26/1931,Maldita,Tango,Teófilo Ibáñez,Brunswick,78rpm,Antonio Rodio,Celedonio Esteban Flores,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,10/14/1931,Esquinita,Tango,Instrumental,Brunswick,78rpm,Edgardo Donato,Edmundo Bianchi,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,10/27/1931,Bullicio Del Corso,Tango,Teófilo Ibáñez,Brunswick,78rpm,Carmelo Imperio (Carmelo Imperio Bove); Juan Carlos Martínez,Eliseo Guillón ,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,10/27/1931,Los Piratas,Tango,Teófilo Ibáñez,Brunswick,78rpm,J. C. Bazán,J. C. Bazán,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
Edgardo Donato,Edgardo Donato y sus Muchachos,11/21/1931,Volvé,Tango,Mercedes Carné,Brunswick,78rpm,Edgardo Donato,Luis Bayon Herrera,,30-33 / Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez,  Ascanio Donato (cello)"
