Bandleader,Orchestra,Date,Title,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,3/20/1945,El Paladín,Tango,Instrumental,Odeón,78rpm,Agustín Bardi,,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,3/22/1945,El Sueño Del Pibe,Tango,Roberto Chanel,Odeón,78rpm,Juan Puey,Reinaldo Yiso,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,5/28/1945,Derecho Viejo,Tango,Instrumental,Odeón,78rpm,Eduardo Arolas,Gabriel Clausi,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,5/28/1945,Maleza,Tango,Alberto Morán,Odeón,78rpm,Enrique Munné,Cátulo Castillo,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,6/12/1945,El Monito,Tango,Instrumental,Odeón,78rpm,Julio Caro,Juan Catán,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,6/12/1945,Pelele,Tango,Instrumental,Odeón,78rpm,Pedro Maffia,,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,7/18/1945,Rondando Tu Esquina,Tango,Roberto Chanel,Odeón,78rpm,Charlo,Enrique Cadícamo,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,7/24/1945,El Abrojito,Tango,Alberto Morán,Odeón,78rpm,Luis Bernstein,Jesús Blanco,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,8/28/1945,Flor De Tango,Tango,Instrumental,Odeón,78rpm,Julio Carrasco,,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,8/28/1945,Por Qué,Tango,Chanel y Morán,Odeón,78rpm,Osvaldo Fresedo,Emilio Fresedo,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,9/24/1945,La Cachila,Tango,Instrumental,Odeón,78rpm,Eduardo Arolas,Héctor Polito,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,9/24/1945,Mentira,Tango,Alberto Morán,Odeón,78rpm,Francisco Pracánico,Celedonio Flores,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica ,11/6/1945,Las Marionetas,Tango,Instrumental,Odeón,78rpm,Osvaldo Pugliese,,,43-46 / Pre La Yumba ,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky",,,,,,,,,,
