Orchestra,Date,Title,Genre,Singer,Label,Masters,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,,,
Miguel Caló,12/1/1942,Milonga Antigua,Milonga,Raúl Berón,Odeón,78rpm,Carlos Parodi,Rafael Pignataro,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,1/19/1943,Barrio De Tango,Tango,Jorge Ortiz,Odeón,78rpm,Aníbal Troilo,Homero Manzi,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,1/19/1943,Pa' Qué Seguir,Tango,Jorge Ortiz,Odeón,78rpm,Francisco Fiorentino,Pedro Lloret,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,1/20/1943,A Las Siete En El Café,Tango,Jorge Ortiz,Odeón,78rpm,Armando Baliotti,Santiago Adamini,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,1/20/1943,Inspiración,Tango,Instrumental,Odeón,78rpm,Peregrino Paulos,Luis Rubistein,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,2/25/1943,Percal,Tango,Alberto Podestá,Odeón,78rpm,Domingo Federico,Homero Expósito,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,2/25/1943,Ya Sale El Tren,Tango,Jorge Ortiz,Odeón,78rpm,Luis Rubistein,Luis Rubistein,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,3/18/1943,A Martín Fierro,Tango,Instrumental,Odeón,78rpm,Francisco Federico,,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,3/18/1943,Si Tú Quisieras,Tango,Alberto Podestá,Odeón,78rpm,Francisco Pracánico,Luis Rubistein,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,5/17/1943,De Barro,Tango,Jorge Ortiz,Odeón,78rpm,Sebastián Piana,Homero Manzi,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Eduardo Del Piano, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,5/17/1943,Es En Vano Llorar,Tango,Raúl Iriarte,Odeón,78rpm,Alberto Villanueva,Oscar Rubistein,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Eduardo Del Piano, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,5/21/1943,Cuando Tallan Los Recuerdos,Tango,Raúl Iriarte,Odeón,78rpm,Rafael Rossi,Enrique Cadícamo,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Eduardo Del Piano, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,5/21/1943,Mi Cantar,Tango,Jorge Ortiz,Odeón,78rpm,Héctor Stamponi,Homero Expósito,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Eduardo Del Piano, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,6/10/1943,Cuento Azul,Tango,Raúl Iriarte,Odeón,78rpm,Miguel Caló; Osmar Maderna,Julio Rosofsky,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Eduardo Del Piano, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,6/10/1943,Pobre Negra,Milonga,Jorge Ortiz,Odeón,78rpm,Enrique Francini; Héctor Stamponi,Homero Expósito,,Orquesta de las Estrellas (1941-43,Osmar Maderna,Ariel Pedernera,"Eduardo Del Piano, Armando Pontier, José Cambareri, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,8/10/1943,La Maleva,Tango,Instrumental,Odeón,78rpm,Antonio Buglione,Mario Pardo,,Estrellas - Federico (1943-45,Osmar Maderna,Ariel Pedernera,"Armando Pontier, José Cambareri, Carlos Lazzari, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,8/10/1943,Mañana Iré Temprano,Tango,Raúl Iriarte,Odeón,78rpm,Enrique Francini,Carlos Bahr,,Estrellas - Federico (1943-45,Osmar Maderna,Ariel Pedernera,"Armando Pontier, José Cambareri, Carlos Lazzari, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,8/10/1943,Otro Tango,Tango,Raúl Iriarte,Odeón,78rpm,Héctor Artola,Carlos Bahr,,Estrellas - Federico (1943-45,Osmar Maderna,Ariel Pedernera,"Armando Pontier, José Cambareri, Carlos Lazzari, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,9/16/1943,Cada Día Te Extraño Más,Tango,Raúl Iriarte,Odeón,78rpm,Armando Pontier,Carlos Bahr,,Estrellas - Federico (1943-45,Osmar Maderna,Ariel Pedernera,"Armando Pontier, José Cambareri, Carlos Lazzari, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,9/28/1943,Verdemar,Tango,Raúl Iriarte,Odeón,78rpm,Carlos Di Sarli,José Contursi,,Estrellas - Federico (1943-45,Osmar Maderna,Ariel Pedernera,"Armando Pontier, José Cambareri, Carlos Lazzari, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,10/19/1943,Luna De Plata,Vals,Raúl Iriarte,Odeón,78rpm,Osmar Maderna,Miguel Caló,,Estrellas - Federico (1943-45,Osmar Maderna,Ariel Pedernera,"Armando Pontier, José Cambareri, Carlos Lazzari, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
Miguel Caló,11/23/1943,A Mí Me Llaman Juan Tango,Tango,Raúl Iriarte,Odeón,78rpm,Tito Ribero,Carlos Waiss,,Estrellas - Federico (1943-45,Osmar Maderna,Ariel Pedernera,"Armando Pontier, José Cambareri, Carlos Lazzari, Felipe Ricciardi ","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas",,,
