Orchestra,Date,Title,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings
Juan D'Arienzo,12/3/1958,Feliz Navidad,Vals,Jorge Valdez,Víctor,Tape,Ernesto Rodríguez; Juan D'Arienzo; Juan Polito,Ernesto Rodríguez; Juan D'Arienzo; Juan Polito,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,12/3/1958,La Sentada,Tango,Instrumental,Víctor,Tape,Horacio Susena,,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,12/10/1958,Barrio Belgrano,Tango,Instrumental,Víctor,Tape,Eladio Blanco,,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,12/10/1958,El Tigre Millán,Tango,Mario Bustos,Víctor,Tape,Francisco Canaro,Francisco Canaro,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,12/10/1958,"No, No Me La Nombres",Tango,Mario Bustos,Víctor,Tape,Carlos Lázzari; Tito Martínez,Reinaldo Ghiso,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,12/10/1958,Tu Noche Es Mi Noche,Tango,Jorge Valdez,Víctor,Tape,Armando Baliotti,Juan Locatelli,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,12/17/1958,Buenas Noches Mi Amor,Tango,Jorge Valdez,Víctor,Tape,Juan Polito,Ángel Gatti,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,12/17/1958,Diez Años,Tango,Jorge Valdez,Víctor,Tape,Cayetano Puglisi; Pascual Gregorio,Manuel Campos,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,12/17/1958,Justo El Treinta Y Uno,Tango,Mario Bustos,Víctor,Tape,Enrique Discépolo,Enrique Discépolo; Raimundo Bernasconi,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
Juan D'Arienzo,12/17/1958,Muñeca Brava,Tango,Mario Bustos,Víctor,Tape,Luis Visca,Enrique Cadícamo,,Polito + Tape 1957 - 64,Juan Polito,Victorio Virgilito,"Enrique Alessio, Eladio Blanco, Carlos Lázzari, Felipe Riccardo, Aldo Junnissi","Cayetano Puglisi, Blas Pensato, Jaime Ferrer, Pablo Hechím"
