Bandleader,Orchestra,Date,Title,Genre,Singer,Label,Master,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,5/27/1942,Así Es La Milonga,Milonga,Alberto Castillo,Víctor,78rpm,Oscar Rubens,Oscar Rubens,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,5/27/1942,Decile Que Vuelva,Tango,Alberto Castillo,Víctor,78rpm,Miguel Bucino,Miguel Bucino,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,7/20/1942,La Copa Del Olvido,Tango,Alberto Castillo,Víctor,78rpm,Enrique Delfino,Alberto Vacarezza,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,7/20/1942,Tango,Tango,Alberto Castillo,Víctor,78rpm,Sebastián Piana,Homero Manzi,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,8/14/1942,Esta Noche Me Emborracho,Tango,Alberto Castillo,Víctor,78rpm,Enrique Discépolo,Enrique Discépolo,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,8/14/1942,El Tango Es El Tango,Tango,Alberto Castillo,Víctor,78rpm,José Iglesias,Juan Gatti,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,9/15/1942,Cómo Se Pianta La Vida,Tango,Alberto Castillo,Víctor,78rpm,Carlos Viván,Carlos Viván,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,9/15/1942,Marisabel,Vals,Alberto Castillo,Víctor,78rpm,Carlos Flores,Carlos Ocantos,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,9/22/1942,Muñeca Brava,Tango,Alberto Castillo,Víctor,78rpm,Luis Visca,Enrique Cadícamo,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,9/22/1942,Un Crimen,Tango,Alberto Castillo,Víctor,78rpm,Luis Rubistein,Luis Rubistein,,40-43 / Castillo ,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre ","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido"
